title,year,director,cast,genre,plot,trivia,direcor
Inception,2010.0,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",Sci-Fi,A thief who steals corporate secrets through dream-sharing technology.,The rotating hallway scene was created without CGI.,
The Matrix,1999.0,Stefan,"Keanu Reeves, Laurence Fishburne",Sci-Fi,A computer hacker learns about the true nature of reality and his role in the war against its controllers.,Neo's iconic bullet-dodging scene took 120 hours to shoot.,Lokesh
Titanic,1997.0,James Cameron,"Leonardo DiCaprio, Kate Winslet",Romance,A young couple's love story unfolds on the ill-fated RMS Titanic.,The movie's budget was higher than the cost to build the original ship.,
The Godfather,1972.0,Francis Ford Coppola,"Marlon Brando, Al Pacino",Crime,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.,The cat in Marlon Brando's lap was a stray found on the set.,
Interstellar,2014.0,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",Sci-Fi,A group of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,The black hole in the movie was based on real scientific equations.,
Pulp Fiction,1994.0,Quentin Tarantino,"John Travolta, Samuel L. Jackson",Crime,"The lives of two mob hitmen, a boxer, a gangster, and his wife intertwine in four tales of violence and redemption.",The word 'fuck' is used 265 times in the movie.,
The Dark Knight,2008.0,Christopher Nolan,"Christian Bale, Heath Ledger",Action,"Batman faces the Joker, a criminal mastermind who seeks to undermine Batman's influence and create chaos in Gotham City.",Heath Ledger kept a Joker diary to get into character.,
Jurassic Park,1993.0,Steven Spielberg,"Sam Neill, Laura Dern",Sci-Fi,"Dinosaurs are cloned and brought back to life to populate a theme park, but things go wrong.","The T-Rex's roars were a combination of dog, penguin, tiger, alligator, and elephant sounds.",
Star Wars: Episode IV - A New Hope,1977.0,George Lucas,"Mark Hamill, Harrison Ford",Sci-Fi,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, and two droids to save the galaxy from the Empire's world-destroying battle station.",The lightsaber sound effect was created by combining the hum of an old TV picture tube and the buzz of a film projector.,
Forrest Gump,1994.0,Robert Zemeckis,"Tom Hanks, Robin Wright",Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal, and other historical events unfold from the perspective of an Alabama man with a low IQ.","The bench that Forrest sits on in the movie is now in a museum in Savannah, Georgia.",
Fight Club,1999.0,David Fincher,"Brad Pitt, Edward Norton",Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club.,The chemical burn scene was done with real chemicals.,
Avatar,2009.0,James Cameron,"Sam Worthington, Zoe Saldana",Sci-Fi,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,The Na'vi language was created by a linguist specifically for the film.,
The Avengers,2012.0,Joss Whedon,"Robert Downey Jr., Chris Evans",Action,Earth's mightiest heroes must come together to stop Loki and his alien army from enslaving humanity.,The 'shawarma scene' was added after the film's premiere.,
The Shawshank Redemption,1994.0,Frank Darabont,"Tim Robbins, Morgan Freeman",Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","The movie was shot in a real prison in Mansfield, Ohio.",
The Lion King,1994.0,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons",Animation,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",'Hakuna Matata' means 'no worries' in Swahili.,
Gladiator,2000.0,Ridley Scott,"Russell Crowe, Joaquin Phoenix",Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Russell Crowe's armor weighed 33 pounds.,
Harry Potter and the Sorcerer's Stone,2001.0,Chris Columbus,"Daniel Radcliffe, Rupert Grint",Fantasy,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family, and the terrible evil that haunts the magical world.",The scenes at Hogwarts were filmed in various historic buildings in the UK.,
The Lord of the Rings: The Fellowship of the Ring,2001.0,Peter Jackson,"Elijah Wood, Ian McKellen",Fantasy,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Over 19,000 costumes were made for the trilogy.",
Saving Private Ryan,1998.0,Steven Spielberg,"Tom Hanks, Matt Damon",War,"Following the Normandy Landings, a group of US soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",The D-Day scenes were filmed on the Irish coast.,
Back to the Future,1985.0,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",Sci-Fi,"Marty McFly, a teenager, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, eccentric scientist Doc Brown.",The DeLorean's flux capacitor required 1.21 gigawatts of electricity to function.,
Barbie,,,,,,,greta
VTK,,Gautham Menon,,,,,
Inidian2,,Shanker,,,,,
Inidan2,2024.0,,,,Inidan thatha saving inida,,
Indian 1,,shanker,,,,,
Vikram,,Stefan,,,,,
Blade,,Stephan Norring,,,,,
